"Level","Name","Records","Average"
"Community","1001 - BR Bronte","55","130.27"
"Community","1008 - GO Glenorchy","3","133.33"
"Community","1010 - JM Joshua Meadows","3","125.67"
"Community","1015 - RO River Oaks","14","135"
"Community","1019 - WM Westmount","3","100"
"Community","1119 - Notting Hill/Summerside","4","125"
"Community","22 - East of Sir John A. Blvd","3","158.33"
"Community","2201 - Cyrville","50","199.98"
"Community","3102 - Manor Park","5","150"
"Community","3103 - Viscount Alexander Park","2","50"
"Community","3403 - Vanier","11","177.27"
"Community","4101 - Ottawa Centre","20","216.25"
"Community","4102 - Ottawa Centre","6","191.67"
"Community","4103 - Ottawa Centre","3","183.33"
"Community","4302 - Ottawa West","2","225"
"Community","4401 - Glebe","2","125"
"Community","4502 - West Centre Town","4","222.5"
"Community","461 - Glendale/Glenridge","6","19.33"
"Community","5102 - Westboro West","2","200"
"Community","5103 - Carlingwood","7","225"
"Community","5301 - Carlington","12","152.5"
"Community","540 - Renfrew","2","150"
"Community","9007 - Kanata - Kanata Lakes/Heritage Hills","6","233.33"
"Community","901 - Smiths Falls","2","150"
"Community","909 - Carleton Place","2","150"
"Community","Annex","146","251.88"
"Community","Banbury-Don Mills","13","151.15"
"Community","Bathurst Manor","5","105"
"Community","Bay Ridges","4","135.5"
"Community","Bay Street Corridor","200","208.22"
"Community","Bayview Village","13","165.38"
"Community","Bayview Woods-Steeles","2","120"
"Community","Beasley","20","156"
"Community","Bedford Park-Nortown","24","99.12"
"Community","Beechborough-Greenbrook","6","100"
"Community","Bendale","9","110.56"
"Community","Beverley Glen","4","100"
"Community","Birchcliffe-Cliffside","24","148.54"
"Community","Brampton West","7","100"
"Community","Brant","16","82.81"
"Community","Briar Hill-Belgravia","3","166.67"
"Community","Brookhaven-Amesbury","3","141.67"
"Community","Brownridge","4","142.38"
"Community","Cabbagetown-South St. James Town","17","108.53"
"Community","Casa Loma","52","248.06"
"Community","Central","27","143.11"
"Community","Central Erin Mills","25","94.16"
"Community","Church-Yonge Corridor","200","225.18"
"Community","City Centre","82","144.23"
"Community","Clanton Park","14","160.71"
"Community","Collingwood","6","84.83"
"Community","Concord","17","178.76"
"Community","Cooksville","7","121.14"
"Community","Corktown","40","65"
"Community","Cornell","2","75"
"Community","Creditview","2","107.5"
"Community","Crescent Town","11","142.55"
"Community","Crown Point","4","87.5"
"Community","Danforth Village-East York","3","116.67"
"Community","Don Valley Village","7","152.14"
"Community","Doncrest","2","75"
"Community","Dorset Park","6","95.83"
"Community","Dovercourt-Wallace Emerson-Junction","80","155.88"
"Community","Downsview-Roding-CFB","3","116.67"
"Community","Downtown Whitby","11","125"
"Community","Dufferin Grove","8","131.25"
"Community","Durand","2","175"
"Community","East D","2","50"
"Community","East End-Danforth","58","206.36"
"Community","East F","8","105.62"
"Community","East K","16","86.56"
"Community","Edenbridge-Humber Valley","4","106.25"
"Community","Eglinton East","10","132.6"
"Community","Englemount-Lawrence","10","102"
"Community","Flemingdon Park","4","138.75"
"Community","Forest Hill North","147","229.22"
"Community","Forest Hill South","200","195.93"
"Community","Georgetown","4","132.5"
"Community","Goreway Drive Corridor","3","176.67"
"Community","Grange Road","22","68.86"
"Community","Greenwood-Coxwell","2","150"
"Community","Harding","22","88.64"
"Community","Henry Farm","23","190"
"Community","High Park North","3","173.33"
"Community","High Park-Swansea","9","197.22"
"Community","Humber Heights","13","120"
"Community","Humbermede","4","165"
"Community","Humewood-Cedarvale","57","222.72"
"Community","Hurontario","5","125"
"Community","Islington-City Centre West","29","157.72"
"Community","Junction Area","24","102.92"
"Community","Keelesdale-Eglinton West","6","121.67"
"Community","Kensington-Chinatown","12","233.33"
"Community","Kingsway South","10","155"
"Community","Lakeview","8","112.5"
"Community","Langstaff","3","150"
"Community","Lansing-Westgate","4","110"
"Community","Lawrence Park South","5","155"
"Community","Leaside","32","167.5"
"Community","Little Lake","2","75"
"Community","Little Portugal","23","155.17"
"Community","Long Branch","3","130"
"Community","Malvern","9","120.89"
"Community","Maple Leaf","18","117.5"
"Community","Markland Wood","43","137.91"
"Community","McQuesten","4","47.5"
"Community","Mimico","23","126.3"
"Community","Moss Park","34","214.12"
"Community","Mount Olive-Silverstone-Jamestown","8","93.12"
"Community","Mount Pleasant East","52","199.62"
"Community","Mount Pleasant West","146","236.82"
"Community","New Toronto","5","98.6"
"Community","Newtonbrook East","4","162.5"
"Community","Newtonbrook West","9","109.44"
"Community","Niagara","101","181.43"
"Community","North Shore","5","90"
"Community","North St. James Town","25","136.55"
"Community","Northwest Brampton","18","157.78"
"Community","Oakridge","31","150.97"
"Community","Oakwood Village","8","142.5"
"Community","Orillia","2","80"
"Community","Palmerston-Little Italy","5","200"
"Community","Parkwoods-Donalda","50","128.54"
"Community","Port Credit","8","175.62"
"Community","Queen Street Corridor","39","120.26"
"Community","Regent Park","31","157.52"
"Community","Roncesvalles","2","200"
"Community","Rosedale-Moore Park","29","191.34"
"Community","Runnymede-Bloor West Village","49","174.49"
"Community","Samac","7","132.86"
"Community","Sheridan Park","3","125"
"Community","South F","12","59.17"
"Community","South J","4","30"
"Community","South Parkdale","27","200.89"
"Community","South Riverdale","23","178.48"
"Community","South West","15","75"
"Community","St. Andrew-Windfields","2","125"
"Community","St. Thomas","2","78"
"Community","Stonegate-Queensway","18","102.22"
"Community","Stoney Creek","3","100"
"Community","Thorncliffe Park","32","201.76"
"Community","Tillsonburg","2","50"
"Community","Trinity-Bellwoods","7","232.14"
"Community","Unionville","3","57.33"
"Community","University","200","226.85"
"Community","Uxbridge","3","25"
"Community","Vaughan Corporate Centre","40","203.97"
"Community","Victoria Village","3","93.33"
"Community","Waterfront Communities C1","200","208.68"
"Community","Waterfront Communities C8","74","223.61"
"Community","West Bayfield","2","85"
"Community","West Hill","11","97.73"
"Community","Westminster-Branson","42","174.76"
"Community","Weston","11","161.36"
"Community","Weston-Pellam Park","2","175"
"Community","Willowdale East","34","171.35"
"Community","Willowdale West","7","168.57"
"Community","Windfields","10","155"
"Community","Woburn","9","103.11"
"Community","Woodbine Corridor","73","115"
"Community","Woodlands","7","96.43"
"Community","Wychwood","2","175"
"Community","Yonge-Eglinton","18","194.44"
"Community","Yonge-St. Clair","79","206.37"
"Community","Yorkdale-Glen Park","4","107.5"
